Time;DE-LU>BE;BE>DE-LU
00:00 - 01:00;1000;1000
01:00 - 02:00;1000;1000
02:00 - 03:00;1000;1000
03:00 - 04:00;1000;1000
04:00 - 05:00;1000;1000
05:00 - 06:00;1000;1000
06:00 - 07:00;1000;1000
07:00 - 08:00;1000;1000
08:00 - 09:00;1000;1000
09:00 - 10:00;1000;1000
10:00 - 11:00;1000;1000
11:00 - 12:00;1000;1000
12:00 - 13:00;1000;1000
13:00 - 14:00;1000;1000
14:00 - 15:00;1000;1000
15:00 - 16:00;1000;1000
16:00 - 17:00;1000;1000
17:00 - 18:00;1000;1000
18:00 - 19:00;1000;1000
19:00 - 20:00;1000;1000
20:00 - 21:00;1000;1000
21:00 - 22:00;1000;1000
22:00 - 23:00;1000;1000
23:00 - 00:00;1000;1000